# Trinity PE 2949 AOB / offset manifest
# generated by tools/audit/pe2949_audit.py from the current source tree
# format: <file>:<line>:<kind>	<symbol>	<pattern|value>

src/game/offsets.h:1647:offset	kOff_EquipEntry_SlotTag	0xC8
src/game/offsets.h:1651:offset	kOff_ItemVal_DyeData	0x78
src/game/offsets.h:1652:offset	kOff_ItemVal_DyeCount	0x80
src/game/offsets.h:1668:offset	kOff_ItemVal_SocketData	0x60
src/game/offsets.h:1669:offset	kOff_ItemVal_SocketData_Legacy	0x58
src/game/offsets.h:1670:offset	kOff_ItemVal_SocketSize	0x68
src/game/offsets.h:1671:offset	kOff_ItemVal_SocketCap	0x6C
src/game/offsets.h:1672:offset	kOff_ItemVal_SocketUnlocked	0x70
src/game/offsets.h:1676:offset	kOff_SockRec_GearId	0
src/game/offsets.h:1677:offset	kOff_SockRec_Marker	2
src/game/offsets.h:1678:offset	kOff_SockRec_Index	4
src/game/offsets.h:1679:offset	kOff_SockRec_State	5
src/game/offsets.h:1696:offset	kOff_ItemVal_RefineLevel	0x0A
src/game/offsets.h:1698:offset	kOff_ItemVal_Durability	0x40
src/game/offsets.h:1713:sig	kSig_EquipEffectRefresh	48 89 5C 24 10 55 56 57 41 54 41 55 41 56 41 57 48 8B EC 48 83 EC 60 4C 8B F2 48 8B F1 80 49 22 20 4C 8D 81 00 01 00 00
src/game/offsets.h:1715:sig	kSig_EquipEffectRefresh_Legacy	48 89 5C 24 ? 48 89 54 24 ? 48 89 4C 24 ? 55 56 57 41 54 41 55 41 56 41 57 48 8B EC 48 83 EC 60 4C 8B F2
src/game/offsets.h:1791:sig	kSig_FriendlyTrustSiteA	41 8B C0 EB 4E C5 FC 10 07 C5 FC 11 01 C5 FC 10 4F 20 C5 FC 11 49 20
src/game/offsets.h:1793:offset	kOff_FriendlyTrustSiteA_Hook	0x12
src/game/offsets.h:1796:sig	kSig_FriendlyTrustSiteB	44 89 C0 EB 4E C5 FC 10 07 C5 FC 11 01 C5 FC 10 4F 20 C5 FC 11 49 20
src/game/offsets.h:1798:offset	kOff_FriendlyTrustSiteB_Hook	0x12
src/game/offsets.h:1811:sig	kSig_FriendlySetNpc201	4C 8B DC 53 55 56 57 41 56 41 57 48 83 EC 68 48 8B FA 48 8B F1 0F B7 42 04
src/game/offsets.h:1813:sig	kSig_FriendlySetPet201	49 89 E3 53 55 56 57 41 56 41 57 48 83 EC 68 48 89 D7 48 89 CE 0F B7 42 04 66 41 89 43 08 49 8D 4B 08 E8 ? ? ? ? 31 ED 39 6E 1C
src/game/offsets.h:1821:sig	kSig_FriendlyGetNpc201	48 89 5C 24 10 48 89 74 24 18 57 48 83 EC 20 48 8B 42 68 48 8B F9 48 8D 4C 24 30 48 8B F2 4C 8B 40 20 41 0F B7 40 30 66 89 44 24 30 E8 ? ? ? ? 83 7F 1C 00
src/game/offsets.h:1823:sig	kSig_FriendlyGetPet201	48 89 5C 24 10 48 89 74 24 18 57 48 83 EC 20 48 8B 42 68 48 8B F9 48 8D 4C 24 30 48 8B F2 4C 8B 40 20 41 0F B7 40 30 66 89 44 24 30 E8 ? ? ? ? 83 7F 3C 00
src/game/offsets.h:1827:sig	kSig_FriendlySetNpc	4C 8B DC 53 55 56 57 41 56 48 83 EC 60 48 8B FA 48 8D 69 38
src/game/offsets.h:1830:sig	kSig_FriendlySetPet	49 89 E3 53 55 56 57 41 56 48 83 EC 60 48 89 D7 48 8D 69 18
src/game/offsets.h:1834:sig	kSig_FriendlyNpcTrustWriter	48 89 5C 24 10 66 44 89 44 24 18 55 56 57 41 54 41 55 41 56 41 57 48 8D 6C 24 E1 48 81 EC E0 00
